datetime,tempmax,Forecast
2021-06-23,34.1,33.16402610108863
2021-06-24,35.7,34.71707032773972
2021-06-25,35.9,34.90589108556543
2021-06-26,39.2,37.710894647722874
2021-06-27,34.5,34.20882701846732
2021-06-28,34.9,34.9989967168449
2021-06-29,34.9,35.05278814535914
2021-06-30,35.5,35.67995851307137
2021-07-01,37.5,37.37921769868992
2021-07-02,36.4,36.37121755893785
2021-07-03,31.5,32.48831695754239
2021-07-04,31.7,32.65760210653956
2021-07-05,32.3,33.41354788288705
2021-07-06,33.5,34.4052307633515
2021-07-07,34.5,34.88962581067525
2021-07-08,33.4,33.893424863895746
2021-07-09,32.4,32.94921443766867
2021-07-10,32.4,33.245223124226776
2021-07-11,32.9,33.60937594548843
2021-07-12,34.4,34.55834814005257
2021-07-13,35.9,35.444464345346304
2021-07-14,35.5,34.96517798320086
2021-07-15,37.0,36.22402528945114
2021-07-16,35.9,35.55446594147652
2021-07-17,33.8,33.92474952857327
2021-07-18,32.2,32.43544950760583
2021-07-19,31.9,32.211136280295584
2021-07-20,32.5,32.45709335479596
2021-07-21,34.7,34.3410374803443
2021-07-22,31.4,31.97949355356903
2021-07-23,31.2,32.02385831208408
2021-07-24,30.2,31.252013526817
2021-07-25,31.0,31.69637871113599
2021-07-26,33.1,33.388165597768186
2021-07-27,35.6,35.34184296797461
2021-07-28,36.8,36.69459030587878
2021-07-29,38.9,38.3625653328457
2021-07-30,39.5,38.97473374403062
2021-07-31,40.0,39.446874994667674
2021-08-01,38.0,37.68659033571244
2021-08-02,39.7,39.16608740121214
2021-08-03,42.1,41.18785100435787
2021-08-04,39.1,39.25588589426223
2021-08-05,39.6,39.72979863836023
2021-08-06,37.5,37.703640434810765
2021-08-07,33.5,34.32031291519995
2021-08-08,32.8,33.5678186370069
2021-08-09,35.2,35.82029809564512
2021-08-10,36.0,36.43053862965128
2021-08-11,36.1,36.22610466702781
2021-08-12,34.1,34.261757156291125
2021-08-13,34.2,34.10548579993342
2021-08-14,31.1,31.573631704250406
2021-08-15,31.4,31.849519231716403
2021-08-16,33.3,33.341382282679454
2021-08-17,33.3,33.11887791492336
2021-08-18,34.0,33.705602758422955
2021-08-19,32.4,32.19962410544021
2021-08-20,31.9,31.88967465278552
2021-08-21,32.2,32.37781042981542
2021-08-22,31.2,31.776782330387853
2021-08-23,31.2,31.833542225698174
2021-08-24,32.4,32.607455185889314
2021-08-25,32.4,32.59936532613723
2021-08-26,34.1,33.89419540144142
2021-08-27,34.3,34.39608578101707
2021-08-28,32.9,33.19724017446606
2021-08-29,34.5,34.50603177910233
2021-08-30,32.8,33.102034615050755
2021-08-31,31.7,31.951098107174854
2021-09-01,31.9,32.11391495809395
2021-09-02,28.9,29.618199182122662
2021-09-03,28.9,29.76617432121144
2021-09-04,28.9,29.674417102025437
2021-09-05,28.8,29.207525860756892
2021-09-06,27.1,27.62908656956512
2021-09-07,25.4,26.0222027592426
2021-09-08,23.3,24.383549292710356
2021-09-09,23.4,24.296935398504203
2021-09-10,27.2,27.070589374136443
2021-09-11,27.5,26.97568980946239
2021-09-12,27.3,26.605751602976323
2021-09-13,28.6,27.599769070378375
2021-09-14,29.7,28.557978496639524
2021-09-15,30.7,29.384283444980138
2021-09-16,30.7,29.286418265334756
2021-09-17,30.9,29.573273924885736
2021-09-18,37.0,34.03722643942977
2021-09-19,35.0,32.99756572909339
2021-09-20,35.4,33.83130266195675
2021-09-21,31.9,31.546756767114605
2021-09-22,26.8,27.57392774646673
2021-09-23,21.1,22.60556687023455
2021-09-24,24.0,24.973178426083283
2021-09-25,28.4,28.49160865345696
2021-09-26,29.2,29.42998092977848
2021-09-27,30.4,30.364389396926516
2021-09-28,28.5,28.879234068462655
2021-09-29,25.4,26.28024956130884
2021-09-30,23.6,24.530116964619094
2021-10-01,22.0,23.12012509790746
2021-10-02,21.2,22.332129613689133
2021-10-03,22.7,23.65705514796868
2021-10-04,24.0,24.635684040324595
2021-10-05,24.3,24.551819115520797
2021-10-06,23.1,23.41593905337859
2021-10-07,24.2,24.13875737487334
2021-10-08,21.4,22.00802244848802
2021-10-09,23.9,23.938238158230003
2021-10-10,22.6,22.64993811603333
2021-10-11,25.7,24.812829582388346
